respondent	match	guess
Eetu	Slovenia-Tanska	2
Eetu	Serbia-Englanti	2
Eetu	Slovenia-Serbia	2
Eetu	Tanska-Englanti	x
Eetu	Englanti-Slovenia	1
Eetu	Tanska-Serbia	x
Eetu	Puola-Hollanti	2
Eetu	Itävalta-Ranska	2
Eetu	Puola-Itävalta	x
Eetu	Hollanti-Ranska	x
Eetu	Hollanti-Itävalta	1
Eetu	Ranska-Puola	1
Eetu	Romania-Ukraina	2
Eetu	Belgia-Slovakia	1
Eetu	Slovakia-Ukraina	2
Eetu	Belgia-Romania	1
Eetu	Slovakia-Romania	x
Eetu	Ukraina-Belgia	2
Eetu	Turkki-Georgia	1
Eetu	Portugali-Tšekki	1
Eetu	Georgia-Tšekki	2
Eetu	Turkki-Portugali	2
Eetu	Georgia-Portugali	2
Eetu	Tšekki-Turkki	x
Elias	Saksa-Skotlanti	1
Elias	Unkari-Sveitsi	x
Elias	Saksa-Unkari	1
Elias	Skotlanti-Sveitsi	2
Elias	Sveitsi-Saksa	2
Elias	Skotlanti-Unkari	2
Elias	Espanja-Kroatia	1
Elias	Italia-Albania	1
Elias	Kroatia-Albania	1
Elias	Espanja-Italia	1
Elias	Albania-Espanja	2
Elias	Kroatia-Italia	2
Elias	Slovenia-Tanska	2
Elias	Serbia-Englanti	2
Elias	Slovenia-Serbia	2
Elias	Tanska-Englanti	2
Elias	Englanti-Slovenia	1
Elias	Tanska-Serbia	1
Elias	Puola-Hollanti	2
Elias	Itävalta-Ranska	2
Elias	Puola-Itävalta	x
Elias	Hollanti-Ranska	2
Elias	Hollanti-Itävalta	1
Elias	Ranska-Puola	1
Elias	Romania-Ukraina	2
Elias	Belgia-Slovakia	1
Elias	Slovakia-Ukraina	2
Elias	Belgia-Romania	1
Elias	Slovakia-Romania	2
Elias	Ukraina-Belgia	2
Elias	Turkki-Georgia	1
Elias	Portugali-Tšekki	1
Elias	Georgia-Tšekki	2
Elias	Turkki-Portugali	2
Elias	Georgia-Portugali	2
Elias	Tšekki-Turkki	2
Janne	Saksa-Skotlanti	1
Janne	Unkari-Sveitsi	x
Janne	Saksa-Unkari	1
Janne	Skotlanti-Sveitsi	2
Janne	Sveitsi-Saksa	2
Janne	Skotlanti-Unkari	2
Janne	Espanja-Kroatia	1
Janne	Italia-Albania	x
Janne	Kroatia-Albania	1
Janne	Espanja-Italia	x
Janne	Albania-Espanja	2
Janne	Kroatia-Italia	x
Janne	Slovenia-Tanska	2
Janne	Serbia-Englanti	x
Janne	Slovenia-Serbia	x
Janne	Tanska-Englanti	1
Janne	Englanti-Slovenia	1
Janne	Tanska-Serbia	x
Janne	Puola-Hollanti	x
Janne	Itävalta-Ranska	2
Janne	Puola-Itävalta	1
Janne	Hollanti-Ranska	2
Janne	Hollanti-Itävalta	1
Janne	Ranska-Puola	x
Janne	Romania-Ukraina	2
Janne	Belgia-Slovakia	1
Janne	Slovakia-Ukraina	2
Janne	Belgia-Romania	1
Janne	Slovakia-Romania	1
Janne	Ukraina-Belgia	x
Janne	Turkki-Georgia	x
Janne	Portugali-Tšekki	1
Janne	Georgia-Tšekki	2
Janne	Turkki-Portugali	2
Janne	Georgia-Portugali	2
Janne	Tšekki-Turkki	1
Maria	Saksa-Skotlanti	1
Maria	Unkari-Sveitsi	2
Maria	Saksa-Unkari	1
Maria	Skotlanti-Sveitsi	1
Maria	Sveitsi-Saksa	2
Maria	Skotlanti-Unkari	1
Maria	Espanja-Kroatia	1
Maria	Italia-Albania	1
Maria	Kroatia-Albania	1
Maria	Espanja-Italia	x
Maria	Albania-Espanja	2
Maria	Kroatia-Italia	x
Maria	Slovenia-Tanska	x
Maria	Serbia-Englanti	2
Maria	Slovenia-Serbia	2
Maria	Tanska-Englanti	2
Maria	Englanti-Slovenia	1
Maria	Tanska-Serbia	1
Maria	Puola-Hollanti	2
Maria	Itävalta-Ranska	2
Maria	Puola-Itävalta	1
Maria	Hollanti-Ranska	2
Maria	Hollanti-Itävalta	1
Maria	Ranska-Puola	1
Maria	Romania-Ukraina	2
Maria	Belgia-Slovakia	1
Maria	Slovakia-Ukraina	2
Maria	Belgia-Romania	1
Maria	Slovakia-Romania	x
Maria	Ukraina-Belgia	2
Maria	Turkki-Georgia	1
Maria	Portugali-Tšekki	1
Maria	Georgia-Tšekki	x
Maria	Turkki-Portugali	2
Maria	Georgia-Portugali	2
Maria	Tšekki-Turkki	2
Miika	Saksa-Skotlanti	1
Miika	Unkari-Sveitsi	x
Miika	Saksa-Unkari	1
Miika	Skotlanti-Sveitsi	2
Miika	Sveitsi-Saksa	2
Miika	Skotlanti-Unkari	x
Miika	Espanja-Kroatia	1
Miika	Italia-Albania	1
Miika	Kroatia-Albania	1
Miika	Espanja-Italia	x
Miika	Albania-Espanja	2
Miika	Kroatia-Italia	x
Miika	Slovenia-Tanska	2
Miika	Serbia-Englanti	2
Miika	Slovenia-Serbia	x
Miika	Tanska-Englanti	x
Miika	Englanti-Slovenia	1
Miika	Tanska-Serbia	1
Miika	Puola-Hollanti	2
Miika	Itävalta-Ranska	2
Miika	Puola-Itävalta	x
Miika	Hollanti-Ranska	2
Miika	Hollanti-Itävalta	x
Miika	Ranska-Puola	1
Miika	Romania-Ukraina	2
Miika	Belgia-Slovakia	1
Miika	Slovakia-Ukraina	2
Miika	Belgia-Romania	1
Miika	Slovakia-Romania	x
Miika	Ukraina-Belgia	x
Miika	Turkki-Georgia	x
Miika	Portugali-Tšekki	1
Miika	Georgia-Tšekki	2
Miika	Turkki-Portugali	2
Miika	Georgia-Portugali	2
Miika	Tšekki-Turkki	x
Olli	Saksa-Skotlanti	1
Olli	Unkari-Sveitsi	2
Olli	Saksa-Unkari	1
Olli	Skotlanti-Sveitsi	2
Olli	Sveitsi-Saksa	2
Olli	Skotlanti-Unkari	x
Olli	Espanja-Kroatia	1
Olli	Italia-Albania	1
Olli	Kroatia-Albania	1
Olli	Espanja-Italia	x
Olli	Albania-Espanja	2
Olli	Kroatia-Italia	x
Olli	Slovenia-Tanska	2
Olli	Serbia-Englanti	2
Olli	Slovenia-Serbia	2
Olli	Tanska-Englanti	2
Olli	Englanti-Slovenia	1
Olli	Tanska-Serbia	2
Olli	Puola-Hollanti	2
Olli	Itävalta-Ranska	2
Olli	Puola-Itävalta	x
Olli	Hollanti-Ranska	2
Olli	Hollanti-Itävalta	1
Olli	Ranska-Puola	1
Olli	Romania-Ukraina	2
Olli	Belgia-Slovakia	1
Olli	Slovakia-Ukraina	x
Olli	Belgia-Romania	1
Olli	Slovakia-Romania	1
Olli	Ukraina-Belgia	2
Olli	Turkki-Georgia	1
Olli	Portugali-Tšekki	1
Olli	Georgia-Tšekki	2
Olli	Turkki-Portugali	2
Olli	Georgia-Portugali	2
Olli	Tšekki-Turkki	2
Ossi	Saksa-Skotlanti	1
Ossi	Unkari-Sveitsi	x
Ossi	Saksa-Unkari	x
Ossi	Skotlanti-Sveitsi	x
Ossi	Sveitsi-Saksa	x
Ossi	Skotlanti-Unkari	2
Ossi	Espanja-Kroatia	1
Ossi	Italia-Albania	1
Ossi	Kroatia-Albania	x
Ossi	Espanja-Italia	2
Ossi	Albania-Espanja	2
Ossi	Kroatia-Italia	x
Ossi	Slovenia-Tanska	1
Ossi	Serbia-Englanti	2
Ossi	Slovenia-Serbia	2
Ossi	Tanska-Englanti	2
Ossi	Englanti-Slovenia	1
Ossi	Tanska-Serbia	2
Ossi	Puola-Hollanti	2
Ossi	Itävalta-Ranska	x
Ossi	Puola-Itävalta	2
Ossi	Hollanti-Ranska	2
Ossi	Hollanti-Itävalta	x
Ossi	Ranska-Puola	1
Ossi	Romania-Ukraina	2
Ossi	Belgia-Slovakia	x
Ossi	Slovakia-Ukraina	2
Ossi	Belgia-Romania	1
Ossi	Slovakia-Romania	x
Ossi	Ukraina-Belgia	1
Ossi	Turkki-Georgia	1
Ossi	Portugali-Tšekki	1
Ossi	Georgia-Tšekki	1
Ossi	Turkki-Portugali	x
Ossi	Georgia-Portugali	2
Ossi	Tšekki-Turkki	2
Petteri	Saksa-Skotlanti	1
Petteri	Unkari-Sveitsi	2
Petteri	Saksa-Unkari	1
Petteri	Skotlanti-Sveitsi	x
Petteri	Sveitsi-Saksa	2
Petteri	Skotlanti-Unkari	2
Petteri	Espanja-Kroatia	1
Petteri	Italia-Albania	x
Petteri	Kroatia-Albania	1
Petteri	Espanja-Italia	1
Petteri	Albania-Espanja	2
Petteri	Kroatia-Italia	x
Petteri	Slovenia-Tanska	2
Petteri	Serbia-Englanti	2
Petteri	Slovenia-Serbia	2
Petteri	Tanska-Englanti	x
Petteri	Englanti-Slovenia	1
Petteri	Tanska-Serbia	1
Petteri	Puola-Hollanti	2
Petteri	Itävalta-Ranska	2
Petteri	Puola-Itävalta	2
Petteri	Hollanti-Ranska	2
Petteri	Hollanti-Itävalta	1
Petteri	Ranska-Puola	1
Petteri	Romania-Ukraina	x
Petteri	Belgia-Slovakia	1
Petteri	Slovakia-Ukraina	2
Petteri	Belgia-Romania	1
Petteri	Slovakia-Romania	2
Petteri	Ukraina-Belgia	x
Petteri	Turkki-Georgia	2
Petteri	Portugali-Tšekki	1
Petteri	Georgia-Tšekki	2
Petteri	Turkki-Portugali	2
Petteri	Georgia-Portugali	2
Petteri	Tšekki-Turkki	2
Teemu	Saksa-Skotlanti	1
Teemu	Unkari-Sveitsi	x
Teemu	Saksa-Unkari	1
Teemu	Skotlanti-Sveitsi	2
Teemu	Sveitsi-Saksa	x
Teemu	Skotlanti-Unkari	x
Teemu	Espanja-Kroatia	2
Teemu	Italia-Albania	1
Teemu	Kroatia-Albania	1
Teemu	Espanja-Italia	x
Teemu	Albania-Espanja	2
Teemu	Kroatia-Italia	x
Teemu	Slovenia-Tanska	2
Teemu	Serbia-Englanti	x
Teemu	Slovenia-Serbia	2
Teemu	Tanska-Englanti	x
Teemu	Englanti-Slovenia	1
Teemu	Tanska-Serbia	1
Teemu	Puola-Hollanti	x
Teemu	Itävalta-Ranska	2
Teemu	Puola-Itävalta	1
Teemu	Hollanti-Ranska	2
Teemu	Hollanti-Itävalta	1
Teemu	Ranska-Puola	1
Teemu	Romania-Ukraina	2
Teemu	Belgia-Slovakia	1
Teemu	Slovakia-Ukraina	2
Teemu	Belgia-Romania	1
Teemu	Slovakia-Romania	1
Teemu	Ukraina-Belgia	2
Teemu	Turkki-Georgia	1
Teemu	Portugali-Tšekki	1
Teemu	Georgia-Tšekki	2
Teemu	Turkki-Portugali	2
Teemu	Georgia-Portugali	2
Teemu	Tšekki-Turkki	x
Ville	Saksa-Skotlanti	1
Ville	Unkari-Sveitsi	2
Ville	Saksa-Unkari	1
Ville	Skotlanti-Sveitsi	x
Ville	Sveitsi-Saksa	2
Ville	Skotlanti-Unkari	x
Ville	Espanja-Kroatia	1
Ville	Italia-Albania	1
Ville	Kroatia-Albania	1
Ville	Espanja-Italia	x
Ville	Albania-Espanja	1
Ville	Kroatia-Italia	x
Ville	Slovenia-Tanska	2
Ville	Serbia-Englanti	2
Ville	Slovenia-Serbia	x
Ville	Tanska-Englanti	x
Ville	Englanti-Slovenia	1
Ville	Tanska-Serbia	1
Ville	Puola-Hollanti	x
Ville	Itävalta-Ranska	2
Ville	Puola-Itävalta	x
Ville	Hollanti-Ranska	2
Ville	Hollanti-Itävalta	1
Ville	Ranska-Puola	1
Ville	Romania-Ukraina	1
Ville	Belgia-Slovakia	1
Ville	Slovakia-Ukraina	x
Ville	Belgia-Romania	x
Ville	Slovakia-Romania	2
Ville	Ukraina-Belgia	2
Ville	Turkki-Georgia	1
Ville	Portugali-Tšekki	1
Ville	Georgia-Tšekki	2
Ville	Turkki-Portugali	2
Ville	Georgia-Portugali	2
Ville	Tšekki-Turkki	x
